name,sum,color
27001,0.5473458603955805,#E41A1C
27003,0.09355899691581726,#E41A1C
27005,0.06914131343364716,#E41A1C
27007,0.07357374439015985,#E41A1C
27009,0.025862494483590126,#E41A1C
27011,0.04305101581849158,#E41A1C
27013,2.3800521083176136,#E41A1C
27015,0.09731438616290689,#E41A1C
27017,0.25631627067923546,#E41A1C
27019,0.027787772938609123,#FFFF33
27021,0.14116282993927598,#FFFF33
27023,0.06380779203027487,#FFFF33
27025,0.01721837930381298,#FFFF33
27027,0.3404690371826291,#FFFF33
27029,0.045768012292683125,#FFFF33
27031,0.032779845874756575,#FFFF33
27033,0.06468507600948215,#FFFF33
27035,0.32111769262701273,#FFFF33
27037,0.11851416528224945,#FFFF33
27039,0.08574670506641269,#FF7F00
27041,0.09285795642063022,#FF7F00
27043,0.08253175998106599,#FF7F00
27045,0.07137830462306738,#FF7F00
27047,0.5821475265547633,#FF7F00
27049,0.051021117717027664,#FF7F00
27051,0.046861264389008284,#FF7F00
27053,0.5619878172874451,#FF7F00
27055,0.05038806376978755,#FF7F00
27057,0.09053950710222125,#FF7F00
27059,0.015291630290448666,#FF7F00
27061,0.22138313576579094,#FF7F00
27063,0.06297213537618518,#FF7F00
27065,0.08917926321737468,#999999
27067,0.11948409862816334,#999999
27069,0.04203338292427361,#999999
27071,0.06459955172613263,#999999
27073,0.40127789601683617,#999999
27075,0.03872504108585417,#999999
27077,0.032204747083596885,#999999
27079,0.12857365561649203,#999999
27081,0.04816566384397447,#999999
27083,0.32309496961534023,#999999
27085,0.022524431347846985,#377EB8
27087,0.044706907821819186,#377EB8
27089,0.05799097241833806,#377EB8
27091,0.12242320040240884,#377EB8
27093,0.2983917901292443,#377EB8
27095,0.11108471499755979,#377EB8
27097,0.2666049571707845,#377EB8
27099,0.09370844857767224,#377EB8
27101,0.06517163058742881,#377EB8
27103,0.07661030441522598,#377EB8
27105,0.08064166968688369,#377EB8
27107,0.05846051871776581,#377EB8
27109,0.1947612650692463,#377EB8
27111,0.4090142585337162,#377EB8
27113,0.04264913802035153,#377EB8
27115,0.12792599108070135,#377EB8
27117,0.05798920337110758,#377EB8
27119,0.5169939463958144,#377EB8
27121,0.05954433185979724,#377EB8
27123,0.14015959203243256,#E41A1C
27125,0.03643776068929583,#E41A1C
27127,0.08872119290754199,#E41A1C
27129,0.3592810668051243,#E41A1C
27131,0.022022642195224762,#E41A1C
27133,0.06901261396706104,#E41A1C
27135,0.0591057687997818,#E41A1C
27137,0.3730022357776761,#E41A1C
27139,0.021092912182211876,#E41A1C
27141,0.01565619744360447,#E41A1C
27143,0.08175811124965549,#E41A1C
27145,0.08251068741083145,#E41A1C
27147,0.08979539619758725,#E41A1C
27149,0.0790513139218092,#E41A1C
27151,0.05534700723364949,#E41A1C
27153,0.1144743263721466,#E41A1C
27155,0.047391262371093035,#E41A1C
27157,0.10753372451290488,#E41A1C
27159,0.06508064270019531,#E41A1C
27161,0.08486766926944256,#E41A1C
27163,0.06723080575466156,#E41A1C
27165,0.05676026688888669,#E41A1C
27167,0.05651815142482519,#E41A1C
27169,0.099879190325737,#E41A1C
27171,0.06092611700296402,#E41A1C
27173,0.06202162802219391,#E41A1C
